Serial Number,Project Name,Promoter Name,Last Modified Date,View URL
671,MILLIONIST 14,AADINATH DEVELOPERS,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=DQE%2baq%2fNKWi%2bxlbLjkzkCBcWqjOycNOrMBPy3Cdn0J8wjr0KZAodwnSeJzRv9UDtKuc40jFrLHI5vkeEmwTUbe8UceRSmOcEWEc4T%2bOy8ULysdwGc4%2b%2f43D2thE%2bkR0R1hhfgD85aGK5lK%2b6ZUw6Wyu0hdiC7vxntB4XQOlDr1j7b3eIR3Exeg%3d%3d
672,Xenus Phase 1,Rodium Properties division of Rodium Realty Ltd.,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=OHp7yaTWaO30n%2b1UQxo6l6vy42HZ7zVZYloXH24jmJ2IYUEN9wkV4cV9Pggbq6A8YQXJWfdHOEwEsyHyYI4YHRzqhdrdMD2Njp8OpV3V%2bxitLPsxMZesnQ9ERHH7EKSkK7He8weV9stN%2bhXzk5%2fBKDlP%2fP4M8XKOvQIqprIKI6EBPOvQQzfGvw%3d%3d
673,DIGNITY DIVINE,DIGNITY REALTY,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=dxapP8UB3vH3gbHAkE8TInA%2f8ZO4q77xwoCh%2bvU8leLV6Hli6MtJ1kY0zsKo7KUFBF%2bSZowzwrQFVD9lLov9qmK5a%2blxNPWKJmrGk7brOQ34B1L5Q1yE1GtpsxqF0s7pq%2fPxrSHU80RuSTZYS93EnRFPFzTyckSCMDvetbwvSPihRMH1XGmsUw%3d%3d
674,Aangan,Indus Valley Constructions LLP,29/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=XdzWvNBAhFVQz9WaVU%2bRw%2fC0mh3uJwHW%2fCeGBHWD5E%2fyNELWL9lDgfFPv6U3nIQpP6TxEWj%2f5Ar4oLW3s7UsB2iQwQyubQvS%2bsJ9vgSGlJdwx3x%2bNYVg3OsQAZ69ZCbabpSnlM6RitxKjAAxy%2fs1vN3Qil9gvfiRycuxXJF899aesY6bkdKkxw%3d%3d
675,Shantadurga,LAKSHMI BUILDERS AND DEVELOPERS,25/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2bj2aW0SeR2Dh8vQxvYU2BtMqGZ1FWzXuze1sQ0Xiz8sdjgZCboYaSULuWTk2BGdG48xRRxUfksoH19HyDEHgbEr3zSOfFmkHwTaRkL9zl91g5wVE0TXAt7NJyvf5IqfP3ukeXOhX9T%2fj2hpuTTlBoCScIhMeUfsiHtCwhxEDaB8ESXTU%2b63xEg%3d%3d
676,Hermitage,V K Developers,19/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=9hIRq%2bAYS79QWgDgQaGx4LlFXUdqK5VjlftxqUJZR5EuJ6MnUYxBZ0%2fELka6pDFT68CF7X2PI5k19PCS1iENXn5qlV3Fd%2bLpqqfGW6g1DSqP5ysBou3Rp9XFvgOZScgMq6MyS%2fC817Js7OY3OnGWyZzvP5N82w%2bYeiebBviEwbmYn0N5fIKxOA%3d%3d
677,BEAUMONTE TOWER B PHASE 1 SALE BUILDING NO 10,SAHANA-SHETH,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=LLhdFIm%2bNsmRNs9%2bejMiuLFjeUGdT78GlJwupED8hqXY8Niqhsffbzh5JS%2fvWfywwFtsF%2faGhGlbNzOiwSEJw%2fIRUwX7clxrUjD%2fb0iol1P3KT8%2fmv6ZfFVBgXK%2f9BS2JG%2bj3ZJUQI%2b5O%2f2pIXiTBCeSUQUXsPLfZxbb7bcLw0xlNOsMxgamQQ%3d%3d
678,SAQLAINIA HEIGHTS,MOHDYUSUF USMANGANI SHERAWALA,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=VQpHsRNEKkGsrYs5CaAuz7D%2fi5WcMNs1IoFOLZEmz2HwHybepFKpGpSjDFSVhIuwcuKeGrziDOJhKKkEUcWDYpD52u%2b5NYep10yymgfZleS81%2bLjuezrJwpFD9Gzowl4HaS%2fB2gd7NtPUlf5ySRfwT0xNK%2f4HX8C9iCigjCq%2fmbOtuJiLZoNJA%3d%3d
679,DIPTI OCEAN TERRACES,DIPTI ASSOCIATES,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=8FYUhVvTdKbYtabqM0k%2bPSo8gre85A8eNfSmNHSMWZ7HreZ331GF1Lf8Uq7fVJMwwKarmB0Z2UMiXUbGgD1xNQ8Azp2Ip9uuRjnVMY1rZwLVl6HvbxKm%2byx1Vr6olfBU6ovraPD%2boBbGwmjI5BymL1cwxzPn14dZfUxNAjSR2ZZEC2hqLOqZUQ%3d%3d
680,HAWARE INTELLIGENTIA Sigma South JVLR Wing B,Suresh Kashinath Haware,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Z2cS8YbWTwnuP6Jx%2frMoHNXn6TwW6zl4vkna%2fcq1ALRWDwZjtMXlN4V%2fh496p8zr9eSsiKAUGi0nyBreM%2fkLTt4U84fDulhRsWqLErxo%2fG3ET%2bVmnq0A%2brwbfKctzuTN%2bszEvleT61PYx9LYPU0WPwBYYuS9ZDmM9F9yTYhi4%2fI8waBbnw5vVg%3d%3d
681,PARINEE EMINENCE PHASE 1,Om Omega Shelters,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=68myH6HVfPFKaOB7vtjTj4%2fhgMexuaVTAYYCi%2bZ1ZTy9TOXpaLGQtlV8xvSAqhfkKmjEZUJ%2bYRCySoOW1gV7e3OXf%2bjW4P%2bTlEU0uTdK2LPWxpiOUCQME0L%2fn9UJceXEgtqa5zpED%2fKQLO%2fiNX%2foRYdL65uxpL2RxeU13wvyP80ln6R%2bI4OGng%3d%3d
682,Gulab Mansion,Jyotindrakumar Punamchand Shah,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=JtNt1yer0dCfxxUKEkplSdRBvsHPtozhCHPQixfys2vY5X8Jbgu7BfcGhogG1SDYLANSWNWbwjUDEeSpHxuqnr2ydk1sWMzz4%2fyVfUjXDeXArdIwIM8OI8Rr8leJY%2fAZOrYmrFSjNkfQIsJaAKkOpeso4sPkLSzpKjaSBPK4X8X72OLoP92%2fsA%3d%3d
683,Ocean Towers - Phase I,Marine Drive Hospitality And Realty Private Limited,21/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=XXvsTGvxemn4NgRrMB7gz3BWlljJEUw8Nfd2Yhw9iObYgTWhyKysQTsOLbh0CbEIi1ihOYzDhp5PeM2nHNEC62ic0TrvXbczGRtHdtY%2fJkMAghGue0WsAY7PCTt3uluBgd%2fF67Yy0DxKXRtn2zV44902bxChHmwHcVoSOC48s9MynIN%2bqK6tFg%3d%3d
684,Ocean Towers - Phase II,Marine Drive Hospitality And Realty Private Limited,21/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=kQKTrak5pt%2bCMLsv0JainG8cEGRyu1Q3g78dQzABffBvc5RcSXWfdbedfCr1B2mcYcrxQaNO9cBBtFxweu0ysC69BdhU3FEqiqxHqidj9P0spCikuMtH%2fwGoMzpFUvS%2fGZ7%2b7lPlL7EBxqswPFTMF%2bMpI5vhT0VnaxdR11wlYU35nJpStRDkGQ%3d%3d
685,ARKADE RISE,Arkade Paradigm,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=MEPfB095xU8x9Q3ZOZ3xHWVyrLb%2fjTQWDQMAh%2bH9A%2bPGDIT4guQ4cxCTyK0ZsyI%2fVjBYbZvWhNqEQEeem6OK80vG3It3KL1d970nGJB9QyoC83REEFCjpPOzd7agLxrXpVChWenvaCrx0OIQVRPBbweeV5xI5qsu0VWLD7B4oUx8t3gLk7t6nQ%3d%3d
686,NITYANAND,ASHOK MURARI PATIL,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=tN4o56ZGupqePMCGkbkbyRZ4u8GAC3AyoOx7xc6OQehM0ch2GcSVdfpsTj4GjH%2f1r5NfUP9WpqwI%2f0RnZa4ewvfqSiogM62AG9Rk5gZCq2mKF54Sv7KAoqeJYppx6DJleG7B%2bvXZNh%2bP2AWxhgFMsqpq2MmHL49qj8G4JeaKj06thLU3sEh2Qw%3d%3d
687,Atlas Royal B,Atlas Infratech Pvt.Ltd,19/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=QZm5zzGGG0jM4dNkAyPlw16UHGkXyCNwzFYpF8UuU4ij6NcOcNszqboNOEYIWq9uQ1W28db3c3hLWcIH1KTRPVw%2fOkQEZIqgXOYkYaERr9ghSpLfshvR0Nbz017jKhIhkiNWlrqeaT1ZyXSW%2fLQhZSAjz7sNa0QkWgOkMyutku1VIyyKSiDvVg%3d%3d
688,Vaastu,Vaswani 108 Lifespaces LLP,29/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=zQabAeMCfBoh%2b26jHzJSi4%2fyJ1tSWzJ54le0374TK3%2fLZB%2f6bQt8VCcJCfGz8iYGB45%2b%2fqAAeA9b4FpgIl6Wv8ojDKgO%2b%2fQEZk49qNODl%2fjX6xxDDjmocdsI96Icn4dtRvA88Z5CjB9Sf8XZ%2bdZZVdrXiJE79h1mB%2f74JUgeseWXpE9XZacARg%3d%3d
689,DHARAM CASTLE,BHURJI DEVELOPERS LLP,25/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ljuht%2b5b744Rjo8qGTlZpP8DGn96HaM77olEhMQqqiIHm%2fc6kuVlCfvLe2a2SFTevg%2b2nDOBzRUaquBAdFGl3%2fdayWKBmREI7iHlgBZhlh2zjZr7B12S8IXdST1di8S0IZvDgZf3dBjiRwylDn4v1MmJWgbHkqefeVsGKq1pTAKZN%2b5SUD7J7Q%3d%3d
690,9 UMA ISHAAN,ISHAAN REALTORS,30/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=pujrLBb6ObNEqOAZWvO%2b%2fFqu9ZD3npITe9ffRvRtBAUrZTaMUoM98KKu5BckwR8Uh3wkmt%2fyVCT3yhFMGOsJErFl33X0%2fhtI4%2fhQ5G6ZV1iPg%2fzxooOWj63stfSiIn77oIosU7aRUHfYSdIEZ%2btpREAtLCmegzOEOJgNT2O0EaqvQq5qqXvNyg%3d%3d
691,Lodha New Cuffe Parade - Tower 11,MACROTECH DEVELOPERS LIMITED,27/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=8pGI3azQMkFLdPRJ8w1Q%2bvLuzQGp57B%2brdDe2Fvkd%2boAZY3rETg0xmGwi%2bF7RdW3rKEf8Ka3ljr9F%2fVjjE49SuDJkOwTooArXO8oHT4mny1d0MIAhQwNhZcWaYU4XkI1eP%2fJ0BpjEBzZJt10EKmJGz0QNq6w5A6WL9eXC7%2f2pEUMwHn%2fSLhhvA%3d%3d
692,South Tower,Glider Buildcon Realtors,28/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=nFoK7pdF1llZaM01X4R8v%2b3KRuGeEweAOtAsYS2ExzF3ZaBvgcYulG7Qox4wOqNLOSw%2f2%2fz6wykt0ldjrEEq6SPwfKoEjMpfLOffyiXFh47%2fTUxGtJijj42K%2feSNEg6U1sZiIQtz07TUcoZXr2n8XoSbBRzN%2bNDLIWu74W8q87UuZDDCi%2fgKJg%3d%3d
693,ARIHANT HERITAGE - OLD LAXMI BUILDING,ARIHANT DEVLOPERS,07/01/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=kAokRvNz8pkWzRe0%2fK5Q0GZ4mbOx%2foC31z%2fb31xxzFkK2fXCfnfB7sFSMPNgJpvQqypEH5AkHHfe3vxfRXV6oEA7Gsb7nXv%2b3xTUzTGfLiNW10a9UI8R0gkt3DSMZSCDQERn7pbCEmCQY1Z6X3ZhqSxyTYjQXwpMdKACbKT8rSRfbWzjpjGTXQ%3d%3d
694,Pristine,Wadhwa Group Holdings Private Limited,28/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=N7%2bD7nigGAOoT0Y%2f8Tf6R%2bBa6EGCIRbKJI1RbheHrKn5KHQKRTCQqjdoxeNAmkwEuhFQ71vbHFvEcWLW3%2b%2fc%2bR8Cg%2bQ0TuKEjDQsKQHImP2FjofGbOMTNRpByOiwIifWVbHyLRrqZ%2flooggYT8lS%2fhYE3Bxm4G9Q8yEl6WaXaJH7DyDnyGA2Hg%3d%3d
695,ARIHANT HEIGHTS - JARIWALA AND KADUSKAR,DINESH JYOTICHAND JAIN,22/11/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ycNeelvq%2fntLskRBD%2b1%2fMTvk%2b5s4YkIrE%2bNxt6VYmFo8zfomi4%2biGxELy01apyFUOXoDHixpZZly3sAnpOFG2Ao1yG0LrkKGxHFpVvkd%2fLiyPll4t%2f7%2fV6p3Ip6UuWwz%2bDhoJCj%2b1a7T37oclEu5MeBX5EvO04B9V8OeILOxdVA6yCky%2b4nrEQ%3d%3d
696,HARINIWAS,SHREE BALAJI CORPORATION,19/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=VD05E%2bDWfx2IBz2dKjbsdvwx7ZTTcJpE7G%2fdqs3%2bnRiPdvS%2bV3jsKcusQGnzCJtsm7jS0r8y29w2RGjfsVSexBDqLfy%2f5Idqt2jCnOuy7WXPlswKqiS6EyAem%2bsJCkSEFE%2bFdA2xjOf1R%2bPWuT02ph7w4qTzn1jII6sefF0CJ7mjUFjqSXrCAw%3d%3d
697,CALLISTO,VIBRANT HOMES LLP,11/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=wRIlT7b4jgaDHBQnxLNC42nqWzXvoSbH3iJKYb1ICsganMA9lX9HFxQul9pIXrm0Tiw4lyVHCAJvX8NY42JFdjeCd7mdxh3M%2bUw%2b%2fjIPrIlkoomKkJ5sgXVxqBBoagtBMDc6djUt1fmi4dRzXZ0RoGU3ZKYikCGoQWohpphnDKHQpNQFq1P51Q%3d%3d
698,Central Tower - Tower 2,Glider Buildcon Realtors,28/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=m2cdl3HFWxLujP0nK7I9jBsAd3i1zCoPYP5grS5Owo8ckbiH6jm%2fxSi%2fJOre5oLSc3%2bCZaSdrYjc51ZT97hvl0wqNYCyVpwSGZskmmBs38aV8oSL1o79PH%2b29VmiNePypmGI41H1nIz%2f7uvcL6jGxld%2fwvnRIQau9kpxWPJKxpYmohMUQpbNxw%3d%3d
699,MEHER VILLA,LIVING STONE CONSTRUCTION PRIVATE LIMITED,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=upHoHWWBlNdPnyWOJZTKc0bqaWx3CvW7oelSmSah%2bwdEMJf8B5Evh6A0jKbDnO2J5ffk%2fpE%2bQYTo1ZD2QxElXxIzAV8iOc5iSbnEpeqf9CjmEjqeZmnTSO5gvdleUe8LIGtBqDFJ6pDTNvGkIQjyQJ%2bURQxeZTRWS78duOYRjhrEeZ7FkWoS%2fQ%3d%3d
700,SHRI PRASANNA,TENDULKAR & ASSOCIATES,28/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=eYcNCteK%2bd3Z8dnjJ8d4%2fOSDszvtoVcl4YLKkEw8vzSVd10iW1Cz2gLNDVYSkQqKQgFlLbY9fBXC9z9Yf81fZxTieVRg%2b7k7ZfF6P5pNUNBD5YoigrkDDXXHUdW9SgnNmpYCvu%2bG2E8InFrSL1aFhhWglfj5QcAnhvrHwdWhlTQvcCMFNVh%2b6A%3d%3d
701,BELLAGIO,ESTELLE ESTATES & INFRASTRUCTURE PRIVATE LIMITED,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Aqm6IQ9ri3JtYKtUsAMNxlbVKsTq%2bNVyYGyJ%2baagg7uQobU1Ojy8dRdScjnUh%2fmgtce1iSzgwjsKRAC4yENe5UuByO7IGvkbR%2fQvRpJZeD63GlxVvm5BViU2nGl53eHN0OXrYMyrKHBvMFcFPfLhBTn6oEe2%2fx%2f5STYOV3kPgP095E8pVCHPyQ%3d%3d
702,KALIKUND HEIGHTS,KALIKUND DEVELOPERS,19/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=RUiZgWU6QR5KPpqkjTwL7gA3VqiDpa7B52KDw63NAaxc4Rg%2fLOzKuhaZ3B7IGkj2morN8yKRCxIHmLybSzTl%2f%2fAzYxyLD1MNd6hiRYLKXC2uvkW8eKiVgDXd16iqLnCzq2CjZXQAVnOuuLbB7QeIEnCNWE396uZVoNaTyGtHCUOaplRtu9VHjQ%3d%3d
703,LODHA PARK - TOWN HOUSES,MACROTECH DEVELOPERS LIMITED,26/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=9OYNRuZv3jCghKROIwoMQ6aBRULGDxT7dessZhvZR05Skzpl%2fHn7P1q5Sef21VCvl%2bBIptRykbRa5Y7ylIKUEf3FEzX9veLdPvn1w5uBzqNhmuOTU9fn0rPEZ6bpZLvuotsmD9xpMe%2beLBo3c6b2jk62%2bDfDb6I85sEVMM%2fBulifhRmO9w3HgQ%3d%3d
704,DARSSHAN VONALZO,JAYANT ENTERPRISE,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=I9AJ8szFuL2n6qn5NjM6nA0vidYx2IrD%2fotbCeW1etYMaDYlso9y8k664%2bdDtIGBzl6PJLvDTGvKr8fcahquQhLIUttngai5kvKSLpSrGKCdS4gw5bh2rcr3gFoN1Qgbmc2w9TtGU22wEz7WS2Piybs5ujTzp5qC5%2bbZoEZh3FWdREBkWaUyBA%3d%3d
705,AMAN GRIHA,CITYMAKER BUILDERS PVT LTD ,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=vIvM2EF3qV2NoX5dhfsDoPxSs%2fSU6dyeumnIowVUXzZN46tbEdnti0O9G3xrDvLsDy%2bXvdOqPQaapsWEK%2fJqjB50OFPU%2fymJEFqr%2fxf56vDO7A3mqDquydIjsmk%2fWW%2fKLsqS%2fjpcUgCLQWBNEYXHa02vUA0%2bDrkeDNEm3n6Bb3eUoHLh7f2dRg%3d%3d
706,BORIVALI PUSHPA CHSL,KRUTISHIL DEVELOPERS,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=xlLHvBl3GOIwtzfy1sIntdi9EvmO055phUqaPylzsvlh4sE56pnBGagwWooea4RVXs9pMBfpljalx0rxJJHah9nP5y2ByWH1Bdl7jK2%2bnIEBKAz%2f0VFj7e5U4H8UMsW4oy921CgCjXjo0Qx%2b6L5HHxPowxqH8BVsNwDDRCOgVEnCpjdZD2YLHA%3d%3d
707,RAJKAMAL PRIDE,SUBHAM COMMERCIAL ENTERPRISES PVT. LTD.,03/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=judxIU5vYsP8D9D9VFXnCJLNmmCwIghES%2bOx9TWZBDOjHZnn%2fkccJ0RsNwcr2ToNMz2esTAWlJNP77dA2b5Mv5VWucs2qerrU%2fqEYLrkPu2WZLNp0l8GUiuSS%2fhBR7wy%2bpGo7ZYnZjQGwPzhTcrw%2b4hJinvKLllYRs8Bd6mJIVV6SEUQHD7KOA%3d%3d
708,Shamji Ladha,Endemic Realtors Pvt. Ltd,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=zv%2bhW9U1jqGod1JMziSi5ao3wi3xnSKyg97vxWbAGCxGpMomHisKep755BcDXaDcP2ctPE%2bU2LoL3mnK3VTCuNGg0KWTxr3p1A8Fih92ItUPRcS86u7fuIWs2fATmQ2h8JxMHoGw6tAzgAniX%2bwIG3l2R8bfwCoWbr4RQ%2fN3dqL%2bk3%2bsPvndww%3d%3d
709,SSG Springville,ITMC Developers Pvt. Ltd.,18/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2b7fPRxelFSRDFDDHnFTGEEH9jHWOefNdKGB07Ov7a4GXhu7lvTvJ8NLVp12HpN3TdOZiol0rDev28NrT2uBC4J0sMiceKTs3Qf7BRw6pioJtPZz45LoeGByQq9PLFWUthd%2bxVFfBsYRRhlFdvPid2r0F2UOwMkAAotluzdg%2ba%2bGGc8ep6pP2KA%3d%3d
710,Simna Heights / Shantichndra Heights,ASHRAF VALI MOHAMMAD QURESH,10/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Z9MS0k5lyV43YIs4eHBAIFFYoorRh23DK2ClOgrL97Lm5csryJDz5grfzM%2bJ9zyDEx5h2F1Do9zlGBihfF25QUsR0v4w2MJiI0AuXOosQNu520YjrdFMaMYu7rwYEVvMnO2R4TKsinsN24MDw8r25b%2bVAKvI0FzrFxqbiQROhksapMAUv%2fZFug%3d%3d
711,SIDDHI YOG,SIDDHITECH DEVELOPERS PRIVATE LIMITED,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=kXcjJ%2b%2fgxGwMM1Hv%2bfGxlMLVDxzq3axn6VhBhq7ZlVQbWCB64BXnLrPfToGSWZ00e3XxGQh4GYk6fG5b6JRu5afOcZMsYK489mySiNpXG%2fcQFvIuzgvKDZQLXMd6vEIV%2fiWak2fxoYF9ZBCnAVz%2faAy4FGVou8ZjgMePIPPVkQl7wiJk%2fyr0Rg%3d%3d
712,Sumer Trinity Vertical Phase-I,Sumer Builders,20/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=m5QfGv%2b12XmdzfJ8CZ7kVszC64K4wcSrHzqmpfnc30maSt5UqULY9Ogpyhg%2bSkOxoHRuN8js5pv0Lid4koXysklQ7SEGFcXMOz4N7QXyTIUQ%2btLHFkIwiBVmLnIjubadARJBHIkkHK3FPiAFsLWa0f61CRGxq9SjE2tzXxhyhn3xAKzzwNzRWQ%3d%3d
713,SHREEYA,VILAS ASHOK CHAUDHARI,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=7T%2f9%2bxzT9YOIVL%2fhtscEKPJKLHB%2fsK9ofJG3495Xsc6os8TO6qgGPlwDCe8G5yfj%2bg5D8smAEY6vX%2bglpZU1stWGiBR6xRbLA4Z09M9b5qj9lVY4xeODIwlQF00vj6V8Tu9jmUBdEZFDTJS1LlH3tDyo7CA8T4YCPRsQyZgd8eYvYKKSxtTyow%3d%3d
714,Samruddhi Heights,HIGH RISE REALTY PRIVATE LIMITED,21/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Ove4r%2bHJC3CXiTT1wRGIrQIwKtxzc%2bf9%2bOvme0kPoyH7vXUTibNrFFMv787SLeSyVpTAiM7Vpdq7LTCyfx1IhK8TYswkNHD675gdsnjXtLZquQVbRxMh%2bhLWrK7aTyTWCGIqdmqGzjr5G4GmrTAOt8fqO4z8HENUpVbIc%2bE2E%2bZKPKdwOnGSgg%3d%3d
715,DOTOM DESIRE,DOTOM VENTURES,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=rzqVFOoTr9zFHjaAwNmvtHVsjiMcPuNRW%2fYRzmrsxdIYxJ5FWz8%2bnjVbn9Kc9yewZglEHcwhLa1VVUEEDt82SI73zTGV0q9hW7Rh173c4pOMkwEPTy7AKxAZ2%2fMb%2brM19sMiNo7%2b7%2fnGFJlPlVsxA%2bOFT6i4rAKlh3MbB%2bOOvkeYbGEBy5cDzg%3d%3d
716,Hubtown Harmony A Wing,Heet Builders Private Limited,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=0sDfgXAWkDUJmF2abz9xTv2YbbO9Ur3HzQT%2fIz%2bwm%2fnpl3wIUmJCwePZVqEn9a50%2fkUuOks9IA4ryYbnEWF%2bfFcIiV4Ce9CXNwUrts1pjy%2f1wyLHWDqEnQDReR9kFWyGj%2fqfO1XhI2p85Mw%2bRIxh1vP8QNNVWlq80veKDSi%2fL1FsTI8I2pGnCg%3d%3d
717,Hubtown Harmony B Wing,Heet Builders Private Limited,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=zJxVVql%2fyjfbeLZJuD2Wjbv3I8mQJFvBR%2bEe6jlfcZ5mwsTyRcJzre%2bynR4JRr1mZSbcVUbVRUwZYVXfGMqZ77rTBMwq87gIfr7iHYdp7eD1aAdVDF9TC5OEkPnyXoE4FwWmRCmJVoiyUnNnPyaUbGUO1rHwWzhc57BgxXuED7JoiEZjYdC%2fkw%3d%3d
718,Hubtown Harmony Retail,Heet Builders Private Limited,23/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=mMtrH%2fl3Q21%2bFGinzE%2bbOXxm4aWqovIndzK9UHJpUlhz9J%2b1ab6P%2fnp9UuOVosUWEFX6RajBEIrhyx3Uvk0WNNeex7hT6L611%2bS2xGCVB7eEPWtkRRY5eGQbm5X9ed3Kz4oUtqXGbSlNSLwHcmV%2fpmrZjgU4Blgo7CRG%2fi9eJvMq9kt5OMEQqA%3d%3d
719,Essgee Options One Phase I,GMJ BUILDERS & DEVELOPERS,29/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Q1CyAO%2faEPkz1Rgi1GKPMnWAmNLVyeKhhkYc1SHpzouhakF9gZqC5VUqWTlfgLN6358A2piLccaStdG2GofY9xg1rO7o%2b8%2bx6OE%2bLn%2f3ajbCIx5GrUNy%2fQyRh869LyJQDsqAOerzfU8L6u2oa8Gi2Btn3D30eJFnoP7CEYdkPvl%2bWqL8kiUZVA%3d%3d
720,Essgee Options One - Phase I,Sheetal Sagar Builders & Developers Pvt Ltd,10/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=or678WPCYcauWkxWhCu%2bzIRAoIaykacklZmYNKzFimxiceidRm84F1%2bQU5h6Sk4nurdoHXteh5TkCJqO7zwO3w2gLhok%2fvJdew%2bb9wLovvaA2Rnm%2f%2bzvq6uEeqd6ScQILWOOQHD9kR4Uza61KpEgL1h78AHhzcnmwgVl1C%2bA0doIGDKWsrED6g%3d%3d
721,Piramal Aranya - Wing B,Glider Buildcon Realtors Private Limited,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=L3f3q70dZpIiI%2bRPqmDm2x70Xbt8UeJGejI%2fgr9Uk3CRUvp5JzoEpn457%2fUZDhsjg8dE4PO4OOZT3W1tu%2bxl1fJb4UI9yYfrsiENlvuA1NkTJW5DYVWSmY7uXvZxPi7blmTQHYUKAE2jfljZzFyNtoj5K5iRzAYwTEuFS5HOJp9C1iED8jqekQ%3d%3d
722,MS H20 PHASE 1 GROUND TO 9TH FLOOR,RSB DEVELOPERS PRIVATE LIMITED,11/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=e78KniTyRrCbyhzsr6qjqQQrXqgd8VLffaTC5ODWIzC%2biuSIWcCKp5Bbvu88kHzIE77LUoysGEIgX%2fvHrM9C0BoEQ34nhr4jv8BVBH4LHmJ6u8rOo2RO93Qolp7fYgvxUxNMfLTVzPT2pxUgSaNXKi8iATJGk6veWDmKwu0qFmmfhpzLpov%2bRg%3d%3d
